No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
1,FALSE,Pt900,リング,ダイヤ,0.2,03B-95-20,"160,000",20247,0.07ct,,,tsukamoto,2021/12/10,"13,000"
2,FALSE,Pt900,リング,ダイヤ,0.2,03K-37-20,"240,000",20212,0.25ct,,,fujita,,"27,000"
3,FALSE,Pt900,リング,ダイヤ,0.2,04A-427-20,"160,000",103138,,,,fujita,2022/09/29,"14,500"
4,FALSE,Pt900,リング,ダイヤ,0.3,03A-167-30,"180,000",102793,,,,nakajima,2025/01/16,"14,500"
5,FALSE,Pt900,リング,ダイヤ,0.3,03B-234-30,"240,000",20266,0.20ct,,,muro,2020/02/23,"8,400"
6,FALSE,Pt900,リング,ダイヤ,0.3,03B-334-30,"310,000",103964,0.14ct,,,komaki,2025/04/05,"18,000"
7,FALSE,Pt900,リング,ダイヤ,0.3,03B-95-30,"220,000",103474,0.08ct,,,nakajima,2025/03/23,"24,000"
8,FALSE,Pt900,リング,ダイヤ,0.3,03K-39-30,"180,000",102265,0.15ct,,,muro,2020/02/23,"32,000"
9,FALSE,Pt900,リング,ダイヤ,0.3,04A-289-30,"190,000",103775,,,,nakajima,2025/01/16,"21,500"
10,FALSE,Pt900,リング,ダイヤ,0.3,04A-340-30,"150,000",102618,,,,tanaka,2023/11/14,860
11,FALSE,Pt900,リング,ダイヤ,0.3,04A-397-30,"120,000",25190,,,,河野,2022/03/14,"2,400"
12,FALSE,Pt900,リング,ダイヤ,0.3,04A-427-30,"200,000",103852,,,,fujita,2025/05/28,"21,000"
13,FALSE,Pt900,リング,ダイヤ,0.3,04A-427-30,"210,000",104158,,,,tanaka,2023/01/28,"23,800"
14,FALSE,Pt900,リング,ダイヤ,0.3,04A-459-30,"140,000",102817,,,,nakajima,2025/01/16,"4,200"
15,FALSE,Pt900,リング,ダイヤ,0.3,04B-149-30,"190,000",103551,0.01ct,,,nakajima,2025/03/23,"22,000"
16,FALSE,Pt900,リング,ダイヤ,0.3,04B-196-30,"244,000",102217,0.15ct,,,kida,2017/03/17,"231,000"
17,FALSE,Pt900,リング,ダイヤ,0.3,04B-196-30,"250,000",102614,0.15ct,,,nakajima,2025/01/16,"14,000"
