No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
1,FALSE,Pt900,リング,ダイヤ,0.1,444-7777,"10,000",2011,0.23ct,,,fujita,2025/06/18,
2,FALSE,Pt900,リング,ダイヤ,0.1,444-9999,"10,000",2011,0.23ct,,,fujita,2025/06/21,
3,FALSE,Pt900,リング,ダイヤ,0.1,605test,"110,000",20715,,,SQ2.4mm,fujita,2025/02/05,
4,FALSE,Pt900,リング,ダイヤ,0.1,last2,"110,000",20715,,,SQ2.4mm,fujita,2025/07/01,
5,FALSE,Pt900,リング,ダイヤ,0.1,latest13,"110,000",20715,,,SQ2.4mm,fujita,2025/07/03,
6,FALSE,Pt900,リング,ダイヤ,0.1,test13,"110,000",20715,,,SQ2.4mm,fujita,2025/07/02,
7,FALSE,Pt900,リング,ダイヤ,0.1,test16,"110,000",20715,,,SQ2.4mm,fujita,2025/07/02,
8,FALSE,Pt900,リング,ダイヤ,0.1,test9,"10,000",2011,0.23ct,,,fujita,2025/07/02,
9,FALSE,Pt900,リング,ダイヤ,0.15,03B-251-15,"290,000",20543,0.26ct,,,河野,2022/01/20,"6,500"
10,FALSE,Pt900,リング,ダイヤ,0.2,03B-334-20,"260,000",103144,0.16ct,,,nakajima,2025/01/16,"27,000"
11,FALSE,Pt900,リング,ダイヤ,0.2,03B-83-20,"280,000",102793,0.24ct,,,muro,2016/05/11,"6,000"
12,FALSE,Pt900,リング,ダイヤ,0.2,03B-95-20,"160,000",20247,0.07ct,,,tsukamoto,2021/12/10,"13,000"
13,FALSE,Pt900,リング,ダイヤ,0.2,03K-37-20,"240,000",20212,0.25ct,,,fujita,,"27,000"
14,FALSE,Pt900,リング,ダイヤ,0.2,04A-289-20,"200,000",104017,,,,nakajima,2025/03/16,"4,500"
15,FALSE,Pt900,リング,ダイヤ,0.2,04A-427-20,"160,000",103138,,,,fujita,2022/09/29,"14,500"
16,FALSE,Pt900,リング,ダイヤ,0.2,04B-73-20,"320,000",3057,0.04ct,,,fujita,2023/03/08,"7,000"
17,FALSE,Pt900,リング,ダイヤ,0.3,03A-109-30,"170,000",103428,,,,nakajima,2025/03/16,"8,700"
18,FALSE,Pt900,リング,ダイヤ,0.3,03A-167-30,"180,000",102793,,,,nakajima,2025/01/16,"14,500"
19,FALSE,Pt900,リング,ダイヤ,0.3,03A-200-30,"110,000",23760,,,,河野,2022/03/14,"7,000"
20,FALSE,Pt900,リング,ダイヤ,0.3,03B-184-30,"200,000",102455,0.19ct,,,河野,2022/03/14,"20,000"
21,FALSE,Pt900,リング,ダイヤ,0.3,03B-209-30,"260,000",3061,0.25ct,,,河野,2022/03/14,"23,800"
22,FALSE,Pt900,リング,ダイヤ,0.3,03B-212-30,"170,000",20228,0.11ct,,,河野,2022/03/14,"14,000"
23,FALSE,Pt900,リング,ダイヤ,0.3,03B-220-30,"210,000",20238,0.19ct,,,河野,2022/03/14,"15,000"
24,FALSE,Pt900,リング,ダイヤ,0.3,03B-234-30,"240,000",20266,0.20ct,,,muro,2020/02/23,"8,400"
25,FALSE,Pt900,リング,ダイヤ,0.3,03B-291-30,"230,000",102872,0.12ct,,,山室,2022/10/08,"16,000"
26,FALSE,Pt900,リング,ダイヤ,0.3,03B-312-30,"300,000",102971,0.35ct,,,muro,2020/02/23,"30,000"
27,FALSE,Pt900,リング,ダイヤ,0.3,03B-319-30,"160,000",102786,0.04ct,,,河野,2022/03/14,"1,200"
28,FALSE,Pt900,リング,ダイヤ,0.3,03B-334-30,"310,000",103964,0.14ct,,,komaki,2025/04/05,"18,000"
29,FALSE,Pt900,リング,ダイヤ,0.3,03B-95-30,"220,000",103474,0.08ct,,,nakajima,2025/03/23,"24,000"
30,FALSE,Pt900,リング,ダイヤ,0.3,03B-X046-30,"210,000",102498,0.15ct,,,nakajima,2021/09/26,"23,800"
31,FALSE,Pt900,リング,ダイヤ,0.3,03K-37-30,"280,000",103165,0.24ct,,,竹内,2023/02/11,"15,000"
32,FALSE,Pt900,リング,ダイヤ,0.3,03K-39-30,"180,000",102265,0.15ct,,,muro,2020/02/23,"32,000"
33,FALSE,Pt900,リング,ダイヤ,0.3,04A-289-30,"190,000",103775,,,,nakajima,2025/01/16,"21,500"
34,FALSE,Pt900,リング,ダイヤ,0.3,04A-340-30,"150,000",102618,,,,tanaka,2023/11/14,860
35,FALSE,Pt900,リング,ダイヤ,0.3,04A-397-30,"120,000",25190,,,,河野,2022/03/14,"2,400"
36,FALSE,Pt900,リング,ダイヤ,0.3,04A-427-30,"200,000",103852,,,,fujita,2025/05/28,"21,000"
37,FALSE,Pt900,リング,ダイヤ,0.3,04A-427-30,"210,000",104158,,,,tanaka,2023/01/28,"23,800"
38,FALSE,Pt900,リング,ダイヤ,0.3,04A-459-30,"140,000",102817,,,,nakajima,2025/01/16,"4,200"
39,FALSE,Pt900,リング,ダイヤ,0.3,04B-149-30,"190,000",103551,0.01ct,,,nakajima,2025/03/23,"22,000"
40,FALSE,Pt900,リング,ダイヤ,0.3,04B-196-30,"244,000",102217,0.15ct,,,kida,2017/03/17,"231,000"
41,FALSE,Pt900,リング,ダイヤ,0.3,04B-196-30,"250,000",102614,0.15ct,,,nakajima,2025/01/16,"14,000"
42,FALSE,Pt900,リング,ダイヤ,0.3,04K-14-30,"550,000",104505,0.52ct,,,小牧,2023/09/06,"19,700"
43,FALSE,Pt900,リング,ダイヤ,0.3,DRA1-2-30,"137,000",20245,,,,komaki,2023/10/11,"3,500"
44,FALSE,Pt900,リング,ダイヤ,0.3,DRA2-3-30,"190,000",3034,4.7,,,fujita,2023/08/18,"19,000"
45,FALSE,Pt900,リング,ダイヤ,0.3,DRB1-1-30,"220,000",3032,0.10ct,,,tanaka,2023/05/25,"14,500"
46,FALSE,Pt900,リング,ダイヤ,0.3,DRB1-4-30,"310,000",3033,0.20ct,,,fujita,2024/10/27,"17,000"
47,FALSE,Pt900,リング,ダイヤ,0.3,DRK2-1-30,"420,000",20424,0.43ct,,,fujita,2023/03/08,"17,900"
48,FALSE,Pt900,リング,ダイヤ,0.3,DRK2-1-30,"430,000",3042,0.40ct,,,fujita,2023/08/18,"10,100"
49,FALSE,Pt900,リング,ダイヤ,0.3,TO-4.4-KA-30pink,"210,000",20396,0.05ct,,Pink=0.05ct/No.181227,不明,2016/11/28,"22,000"
50,FALSE,Pt900,リング,ダイヤ,0.3,stackable-solo-Flat-5mm,"140,000",402,,,,fujita,2025/05/28,"4,300"
51,FALSE,Pt900,リング,ダイヤ,0.3,stackable-solo-Round-5mm,"130,000",3019,,,～0.3ct,machii,2022/06/16,"6,800"
52,FALSE,Pt900,リング,ダイヤ,0.45,DRA2-1-45,"110,000",20332,,,,fujita,2023/08/18,"9,800"
53,FALSE,Pt900,リング,ダイヤ,0.5,03A-109-50,"240,000",104736,,,,nakajima,2025/03/16,"10,100"
54,FALSE,Pt900,リング,ダイヤ,0.5,03A-164-50,"190,000",103418,,,,tanaka,2023/11/14,"10,000"
55,FALSE,Pt900,リング,ダイヤ,0.5,03A-167-50,"220,000",104283,,,,nakajima,2025/01/16,"12,000"
56,FALSE,Pt900,リング,ダイヤ,0.5,03A-170-50,"150,000",3028,,,,tanaka,2023/11/14,"6,500"
57,FALSE,Pt900,リング,ダイヤ,0.5,03A-210-50,"180,000",103522,,,,河野,2021/05/21,"5,500"
58,FALSE,Pt900,リング,ダイヤ,0.5,03A-210-50,"180,000",103901,,,,fujita,2025/05/28,"9,500"
59,FALSE,Pt900,リング,ダイヤ,0.5,03B-153-50,"380,000",104775,0.25ct,,,河野,2022/06/22,"28,000"
60,FALSE,Pt900,リング,ダイヤ,0.5,03B-169-50,"210,000",102943,0.18ct,,,河野,2022/03/14,"11,500"
61,FALSE,Pt900,リング,ダイヤ,0.5,03B-214-50,"280,000",103188,0.20ct,,,山室,2022/10/08,"6,100"
62,FALSE,Pt900,リング,ダイヤ,0.5,03B-227-50,"260,000",103849,0.17ct,,,muro,2020/02/23,"18,300"
63,FALSE,Pt900,リング,ダイヤ,0.5,03B-239-50,"420,000",103599,0.48ct,,,nakajima,2015/11/11,"35,000"
64,FALSE,Pt900,リング,ダイヤ,0.5,03B-276-50,"240,000",102966,0.15ct,,,tanaka,2024/01/04,"9,020"
65,FALSE,Pt900,リング,ダイヤ,0.5,03B-291-50,"300,000",103387,0.22ct,,,吉野,2022/10/22,"21,500"
66,FALSE,Pt900,リング,ダイヤ,0.5,03B-334-50,"300,000",103631,0.17ct,,,tanaka,2024/01/04,"36,000"
67,FALSE,Pt900,リング,ダイヤ,0.5,03B-392-50,"220,000",20232,0.13ct,,,河野,2022/03/14,"11,000"
68,FALSE,Pt900,リング,ダイヤ,0.5,03B-56-50,"270,000",0,0.35ct,,,小牧,2023/09/06,"19,000"
69,FALSE,Pt900,リング,ダイヤ,0.5,03B-56-50,"270,000",20289,0.30ct,,,fujita,2025/05/28,"24,000"
70,FALSE,Pt900,リング,ダイヤ,0.5,03B-95-50,"250,000",104054,0.12ct,,,fujita,2025/04/16,"14,100"
71,FALSE,Pt900,リング,ダイヤ,0.5,03B-X046-50,"270,000",103234,0.23ct,,,fujita,2025/05/28,"34,000"
72,FALSE,Pt900,リング,ダイヤ,0.5,03B-X046-50,"280,000",102795,0.18ct,,,小牧,2023/09/06,"20,000"
73,FALSE,Pt900,リング,ダイヤ,0.5,03K-12-50,"260,000",103243,0.20ct,,,河野,2022/03/09,"17,000"
74,FALSE,Pt900,リング,ダイヤ,0.5,03K-24-50,"359,000",103253,0.40ct,,,河野,2022/03/09,"20,100"
75,FALSE,Pt900,リング,ダイヤ,0.5,03K-35-50,"450,000",104259,0.40ct,,,小牧,2023/09/06,"42,100"
76,FALSE,Pt900,リング,ダイヤ,0.5,03K-37-50,"280,000",102511,0.35ct,,,植田,2023/07/10,"20,500"
77,FALSE,Pt900,リング,ダイヤ,0.5,03K-38-50,"240,000",20327,0.25ct,,,廣川,2021/10/05,"8,800"
78,FALSE,Pt900,リング,ダイヤ,0.5,03K-39-50,"270,000",20329,0.21ct,,,tanaka,2023/11/14,"20,200"
79,FALSE,Pt900,リング,ダイヤ,0.5,03K-40-50,"400,000",20281,0.56ct,,,KOUNO,2021/02/22,"38,100"
80,FALSE,Pt900,リング,ダイヤ,0.5,04A-289-50,"250,000",104869,,,,nakajima,2025/03/16,"12,000"
81,FALSE,Pt900,リング,ダイヤ,0.5,04A-427-50,"220,000",103941,,,,nakajima,2025/01/16,"10,000"
82,FALSE,Pt900,リング,ダイヤ,0.5,04A-459-50,"180,000",103407,,,,nakajima,2025/03/16,"7,500"
83,FALSE,Pt900,リング,ダイヤ,0.5,04B-149-50,"210,000",104047,0.02ct,,,fujita,2025/04/16,"10,500"
84,FALSE,Pt900,リング,ダイヤ,0.5,04B-149-50,"230,000",103584,,,LGD 0.01ct,植田,2023/04/18,"13,000"
85,FALSE,Pt900,リング,ダイヤ,0.5,04B-153-50,"240,000",102981,0.18ct,,,nakayama,2023/04/05,"12,500"
86,FALSE,Pt900,リング,ダイヤ,0.5,04B-196-50,"280,000",20239,0.19ct,,,kida,2017/03/17,"5,900"
87,FALSE,Pt900,リング,ダイヤ,0.5,04B-57-50,"380,000",104631,0.21ct,,,河野,2022/03/09,"25,300"
88,FALSE,Pt900,リング,ダイヤ,0.5,04K-13-50,"380,000",104539,0.49ct,,,komaki,2022/04/04,"26,000"
89,FALSE,Pt900,リング,ダイヤ,0.5,04K-14-50,"440,000",104631,0.48ct,,,komaki,2022/05/27,"39,600"
90,FALSE,Pt900,リング,ダイヤ,0.5,DRA1-2-50,"113,000",3024,,,,fujita,2023/08/18,"4,800"
91,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-1-50,"144,000",20235,,,,komaki,2023/10/11,"5,300"
92,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-1-50*50,"140,000",20264,,,,nakajima,2025/01/16,"4,300"
93,FALSE,Pt900,リング,ダイヤ,0.5,DRA2-3-50,"200,000",3036,,,,tanaka,2023/05/25,"10,000"
94,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-1-50,"250,000",20315,0.09ct,,,fujita,2023/10/27,"10,600"
95,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-3-50,"300,000",20315,0.20ct,,,fujita,2023/08/18,"29,500"
96,FALSE,Pt900,リング,ダイヤ,0.5,DRB1-4-50,"250,000",3029,0.17ct,,,坂井,2024/10/08,"13,000"
97,FALSE,Pt900,リング,ダイヤ,0.5,DRB2-1-50,"310,000",404,0.19ct,,,fujita,2023/08/18,"33,500"
98,FALSE,Pt900,リング,ダイヤ,0.5,DRK2-1-50,"450,000",20445,0.43ct,,,fujita,2023/10/27,"10,000"
99,FALSE,Pt900,リング,ダイヤ,0.5,DSD-997,"1,800,000",30222,2.222ct,,,kida,2017/03/17,"10,100"
100,FALSE,Pt900,リング,ダイヤ,0.5,Solitair6.6,"140,000",3012,,,SQ6.6mm,河野,2022/03/16,"4,800"
101,FALSE,Pt900,リング,ダイヤ,0.6,stackable-solo-Flat-6mm,"150,000",3021,,,,fujita,2025/05/28,"20,000"
102,FALSE,Pt900,リング,ダイヤ,0.6,stackable-solo-Round-6mm,"140,000",402,,,,komaki,2022/04/04,"12,500"
103,FALSE,Pt900,リング,ダイヤ,0.65,DRA2-1-65,"125,000",20342,,,,fujita,2023/08/18,"23,600"
104,FALSE,Pt900,リング,ダイヤ,0.7,03A-109-70,"250,000",104723,,,,nakajima,2025/03/16,"11,440"
105,FALSE,Pt900,リング,ダイヤ,0.7,03A-164-70DSPaveblack,"390,000",3071,0.38ct,,Black=0.38ct/No.181250,不明,不明,"11,440"
