No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,備考,入力者,入庫日,下代(数値)
1,FALSE,Pt900,バチカン,バチカン,M,TOMORROW,"200,000",5012,0.2ct,,,fujita,2025/06/23,
2,FALSE,Pt900,バチカン,バチカン,M,R-dB005-30,"200,000",5012,0.2ct,,,fujita111,2025/06/23,DRB1-1-30
3,FALSE,Pt900,リング,ダイヤ,0.1,444-5555,"10,000",2011,0.23ct,,,fujita,2025/06/18,
4,FALSE,Pt900,リング,ダイヤ,0.1,444-7777,"10,000",2011,0.23ct,,,fujita,2025/06/18,
5,FALSE,Pt900,リング,ダイヤ,0.1,444-9999,"10,000",2011,0.23ct,,,fujita,2025/06/21,
6,FALSE,Pt900,リング,ダイヤ,0.1,test9,"10,000",2011,0.23ct,,,fujita,2025/07/02,
7,FALSE,Pt900,リング,ダイヤ,0.1,16,"100,000",20715,0.5ct,,い,fujita,2025/07/31,
8,FALSE,Pt900,リング,ダイヤ,0.1,605test,"110,000",20715,,,SQ2.4mm,fujita,2025/02/05,
9,FALSE,Pt900,リング,ダイヤ,0.1,last2,"110,000",20715,,,SQ2.4mm,fujita,2025/07/01,
10,FALSE,Pt900,リング,ダイヤ,0.1,test13,"110,000",20715,,,SQ2.4mm,fujita,2025/07/02,
11,FALSE,Pt900,リング,ダイヤ,0.1,test16,"110,000",20715,,,SQ2.4mm,fujita,2025/07/02,
12,FALSE,Pt900,リング,ダイヤ,0.1,latest13,"110,000",20715,,,SQ2.4mm,fujita,2025/07/03,
13,FALSE,Pt900,リング,ダイヤ,0.1,stackable-solo-Round-3mm,"120,000",3018,,,,komaki,2022/04/04,BAB0-1-L
14,FALSE,Pt900,リング,ダイヤ,0.1,2stoneOPR3-4,"120,000",20225,,,,河野,2022/04/25,BAB0-1-L
15,FALSE,Pt900,リング,ダイヤ,0.15,03B-251-15,"290,000",20543,0.26ct,,,河野,2022/01/20,BAB0-1-M
16,FALSE,Pt900,リング,ダイヤ,0.2,2stoneOPR3-4,"140,000",20225,B0.05ct,,,河野,2022/04/25,BAB0-5-L
17,FALSE,Pt900,リング,ダイヤ,0.2,03B-95-20,"160,000",20247,0.07ct,,,tsukamoto,2021/12/10,BAB0-5-S
18,FALSE,Pt900,リング,ダイヤ,0.2,04A-427-20,"160,000",103138,,,,fujita,2022/09/29,BAB0-5-M
19,FALSE,Pt900,リング,ダイヤ,0.2,04A-289-20,"200,000",104017,,,,nakajima,2025/03/16,BAB0-2-M
20,FALSE,Pt900,リング,ダイヤ,0.2,03K-37-20,"240,000",20212,0.25ct,,,fujita,,BAK0-1-M
21,FALSE,Pt900,リング,ダイヤ,0.2,03B-334-20,"260,000",103144,0.16ct,,,nakajima,2025/01/16,BAK0-1-M
22,FALSE,Pt900,リング,ダイヤ,0.2,03B-83-20,"280,000",102793,0.24ct,,,muro,2016/05/11,BAK0-1-S
23,FALSE,Pt900,リング,ダイヤ,0.2,04B-73-20,"320,000",3057,0.04ct,,,fujita,2023/03/08,BAK0-2-M
24,FALSE,Pt900,リング,ダイヤ,0.3,03A-200-30,"110,000",23760,,,,河野,2022/03/14,BAK0-2-M
25,FALSE,Pt900,リング,ダイヤ,0.3,04A-397-30,"120,000",25190,,,,河野,2022/03/14,DPA1-1-10
26,FALSE,Pt900,リング,ダイヤ,0.3,stackable-solo-Round-5mm,"130,000",3019,,,～0.3ct,machii,2022/06/16,DPA1-1-100
27,FALSE,Pt900,リング,ダイヤ,0.3,DRA1-2-30,"137,000",20245,,,,komaki,2023/10/11,DPA1-1-30
28,FALSE,Pt900,リング,ダイヤ,0.3,04A-459-30,"140,000",102817,,,,nakajima,2025/01/16,DPA1-1-50
29,FALSE,Pt900,リング,ダイヤ,0.3,stackable-solo-Flat-5mm,"140,000",402,,,,fujita,2025/05/28,DPA1-1-70
30,FALSE,Pt900,リング,ダイヤ,0.3,04A-340-30,"150,000",102618,,,,tanaka,2023/11/14,DPA1-2-007
31,FALSE,Pt900,リング,ダイヤ,0.3,03B-319-30,"160,000",102786,0.04ct,,,河野,2022/03/14,DPA1-3-007
